# OFFSET-b_HIGH OFFSET-v_HIGH OFFSET-R_SPECIAL OFFSET-I_BESS OFFSET-H_Alpha OFFSET-OII_8000
4.000000    4.000000       4.000000    4.000000	     4.000000    4.000000	4.000000    4.000000       4.000000    4.000000	     4.000000    4.000000	    	    
27.000000    31.000000	   25.000000    31.000000    24.000000    31.000000	24.000000    32.000000	   25.333333    32.000000    25.333333    32.000000   	   	  
113.000000    125.000000   114.000000    123.000000  114.000000    122.000000  	115.000000    122.000000   116.000000    122.000000  116.000000    122.000000 
208.000000    211.000000   206.000000    211.000000  205.000000    212.000000  	205.000000    212.000000   207.000000    212.000000  207.000000    212.000000 
295.000000    306.000000   296.000000    304.000000  296.000000    303.000000  	297.000000    303.000000   297.000000    303.000000  297.000000    303.000000 
390.000000    393.000000   389.000000    394.000000  388.000000    394.000000  	387.000000    395.000000   389.000000    394.000000  389.000000    394.000000 
476.000000    489.000000   477.000000    487.000000  477.000000    486.000000  	478.000000    486.000000   478.000000    486.000000  478.000000    486.000000 
572.000000    573.000000   570.500000    574.000000  569.000000    574.000000  	569.000000    575.000000   571.000000    574.833333  571.000000    574.833333 
656.000000    670.000000   657.000000    668.000000  657.000000    667.000000  	658.000000    667.000000   658.166667    667.500000  658.166667    667.500000 
753.000000    754.000000   752.000000    755.000000  750.000000    755.000000  	750.000000    756.000000   752.000000    755.000000  752.000000    755.000000 
838.000000    852.000000   838.000000    850.000000  838.000000    849.000000  	839.000000    849.000000   841.000000    849.000000  841.000000    849.000000 
936.000000    936.000000   934.000000    934.000000  933.000000    933.000000  	933.000000    933.000000   936.000000    936.000000  936.000000    936.000000 
347.000000    347.000000   348.000000    348.000000  348.000000    348.000000  	349.000000    349.000000   347.000000    347.000000  347.000000    347.000000 
431.000000    431.000000   432.000000    432.000000  432.000000    432.000000  	433.000000    433.000000   434.000000    434.000000  434.000000    434.000000 
524.000000    529.000000   523.000000    530.000000  521.500000    530.000000  	521.000000    531.000000   523.000000    530.500000  523.000000    530.500000 
612.000000    622.000000   612.000000    621.000000  612.000000    620.000000  	613.000000    619.000000   614.166667    620.000000  614.166667    620.000000 
705.000000    710.000000   703.000000    711.000000  702.000000    711.000000  	702.000000    712.000000   704.000000    711.333333  704.000000    711.333333 
795.000000    803.000000   796.000000    802.000000  796.000000    801.000000  	797.000000    800.500000   798.000000    801.000000  798.000000    801.000000 
889.000000    890.000000   887.000000    891.000000  886.000000    891.000000  	886.000000    892.000000   888.000000    892.166667  888.000000    892.166667 
973.000000    984.000000   974.000000    982.000000  974.000000    981.000000  	975.000000    981.000000   975.500000    982.333333  975.500000    982.333333 
1027.000000   1028.000000 1027.000000   1028.000000 1027.000000   1028.000000  1027.000000   1028.000000   1027.000000   1028.000000 1027.000000   1028.000000
